instrument_id,price,is_buy,timestamp_ns,signal_mask
9,199.275,1,188611369442250,4
3,199.396,1,188611369448333,4
4,175.925,1,188611369449208,4
5,183.265,1,188611369450166,4
7,191.354,1,188611369451583,4
0,187.301,0,188611369455208,2
1,158.857,1,188611369457125,6
2,171.954,1,188611369459041,6
3,124.426,1,188611369460916,2
4,105.14,1,188611369462708,2
6,109.917,1,188611369466000,2
8,179.387,0,188611369469250,2
4,118.588,1,188611369475708,2
5,177.945,0,188611369477083,2
8,155.454,0,188611369480166,2
9,132.325,1,188611369481416,2
0,181.632,0,188611369482625,2
2,118.104,1,188611369484750,2
3,137.55,1,188611369486041,2
4,184.108,1,188611369487375,6
5,198.081,1,188611369488666,6
6,143.82,1,188611369489958,6
8,115.675,1,188611369492166,2
2,172.868,0,188611369496041,2
3,142.244,1,188611369497416,2
4,191.535,1,188611369498750,6
5,188.049,0,188611369500208,2
6,112.366,1,188611369501666,2
7,131.116,1,188611369503083,2
8,117.09,1,188611369504500,2
9,167.36,1,188611369505666,4
0,121.325,1,188611369507958,2
2,133.289,1,188611369512000,2
3,192.859,1,188611369514208,6
6,109.076,1,188611369519958,2
7,116.456,1,188611369522166,2
8,183.13,1,188611369524250,6
9,140.426,1,188611369526500,2
1,169.808,0,188611369529958,2
2,182.031,0,188611369531958,2
3,132.782,1,188611369533958,2
4,183.927,0,188611369535791,2
5,137.987,1,188611369537625,2
6,174.444,0,188611369539458,2
7,177.016,0,188611369541250,2
1,108.231,1,188611369547916,2
2,199.138,1,188611369550083,6
6,168.444,0,188611369557083,2
9,188.329,1,188611369562625,6
1,155.604,0,188611369566291,2
2,102.718,1,188611369568458,2
3,170.029,1,188611369570291,4
4,186.156,0,188611369572500,2
5,119.701,1,188611369574625,2
7,176.297,0,188611369578583,2
8,182.171,0,188611369580666,2
2,110.193,1,188611369587875,2
3,116.645,1,188611369590041,2
4,126.919,1,188611369592166,2
5,137.372,1,188611369594375,2
7,111.93,1,188611369598208,2
9,137.687,1,188611369602125,2
0,197.832,0,188611369604208,2
1,159.281,0,188611369606333,2
2,169.532,1,188611369608458,6
3,131.574,1,188611369610541,2
4,100.568,1,188611369612583,2
5,161.631,1,188611369614375,4
7,177.601,0,188611369618250,2
9,187.03,0,188611369621958,2
0,107.787,1,188611369624166,2
2,107.401,1,188611369628041,2
3,150.034,1,188611369629958,4
4,104.705,1,188611369632166,2
5,170.662,1,188611369634125,4
6,165.642,0,188611369636291,2
7,119.043,1,188611369638541,2
9,189.572,1,188611369642500,6
0,118.38,1,188611369644666,2
2,104.184,1,188611369648625,2
3,172.741,1,188611369650625,6
4,115.675,1,188611369652666,6
6,196.991,1,188611369656416,6
7,124.491,1,188611369658541,2
0,101.543,1,188611369663458,2
2,180.277,0,188611369667041,2
3,119.427,1,188611369669125,2
4,139.318,1,188611369670916,4
6,178.363,0,188611369674708,2
7,187.294,1,188611369676875,6
8,155.998,1,188611369678750,4
9,148.508,1,188611369680916,2
0,195.475,0,188611369682958,2
1,183.484,0,188611369685041,2
4,155.35,1,188611369690375,6
5,179.012,1,188611369692583,6
6,111.621,1,188611369694750,2
7,181.876,0,188611369696708,2
0,102.61,1,188611369702000,2
1,184.77,1,188611369704041,6
2,178.991,0,188611369706208,2
3,162.565,1,188611369708333,6
4,122.321,1,188611369710500,2
5,126.515,1,188611369712541,2
6,128.509,1,188611369714791,2
7,196.915,0,188611369716833,2
8,181.225,0,188611369719041,2
9,176.091,1,188611369721000,4
0,193.716,0,188611369723125,2
1,108.787,1,188611369725166,2
2,182.864,1,188611369727291,6
4,101.238,1,188611369731041,2
5,120.331,1,188611369733083,2
6,150.731,1,188611369734916,4
0,111.994,1,188611369741666,2
1,196.56,0,188611369743750,2
2,115.166,1,188611369745833,2
3,110.698,1,188611369748000,2
4,157.792,0,188611369750083,2
5,187.37,0,188611369752083,2
6,109.638,1,188611369754250,2
7,119.769,1,188611369756416,2
0,124.835,1,188611369761750,2
1,196.871,1,188611369763958,6
4,105.657,1,188611369769333,2
6,101.296,1,188611369773083,2
0,140.99,1,188611369779708,4
1,190.184,0,188611369781791,2
2,120.501,1,188611369783916,2
3,185.165,1,188611369786041,6
5,186.762,0,188611369789791,2
7,115.258,1,188611369793541,2
8,124.111,1,188611369795708,3
9,135.246,1,188611369797916,2
0,189.199,1,188611369800000,6
4,155.631,1,188611369806666,6
5,135.996,1,188611369808708,2
6,176.88,1,188611369810791,6
8,199.96,1,188611369814416,3
9,134.351,1,188611369816541,2
0,162.342,0,188611369818583,2
3,115.886,1,188611369823583,2
4,112.551,1,188611369825500,2
5,198.787,0,188611369827625,2
7,106.793,1,188611369831291,2
0,101.784,1,188611369836583,2
1,135.253,1,188611369838625,2
3,120.108,1,188611369842291,2
4,114.112,1,188611369844375,2
5,130.423,1,188611369846458,2
6,102.056,1,188611369848500,2
9,173.437,1,188611369853791,6
1,101.541,1,188611369857416,2
2,185.767,1,188611369859500,6
3,137.04,1,188611369861416,4
4,194.753,1,188611369863583,7
5,179.936,0,188611369865666,2
6,151.773,0,188611369867666,2
7,189.312,1,188611369869750,6
8,112.192,1,188611369871916,2
0,167.657,1,188611369875708,6
2,131.46,1,188611369879416,2
3,114.945,1,188611369881541,2
5,115.696,1,188611369885208,2
6,182.926,1,188611369887333,6
7,179.823,0,188611369889500,2
8,125.491,1,188611369891750,2
9,129.727,1,188611369893833,2
1,183.896,1,188611369897583,6
4,163.658,0,188611369902958,2
5,126.155,1,188611369905000,2
7,114.609,1,188611369908583,2
8,193.586,1,188611369910666,6
0,199.969,0,188611369914375,2
2,102.018,1,188611369918166,2
3,197.487,1,188611369920291,7
5,194.422,1,188611369923958,6
6,192.442,0,188611369926041,2
7,198.949,0,188611369928166,2
9,165.31,1,188611369931541,4
1,110.862,1,188611369935416,2
2,159.724,0,188611369937416,2
3,163.846,0,188611369939375,2
4,157.955,0,188611369941416,2
5,124.362,1,188611369943416,2
6,186.631,0,188611369945333,2
7,117.609,1,188611369947333,2
8,193.948,0,188611369949416,2
0,112.513,1,188611369953041,2
1,121.371,1,188611369955166,2
2,125.247,1,188611369957208,2
3,185.256,0,188611369959291,2
6,122.523,1,188611369964416,2
7,198.624,0,188611369966208,2
8,123.025,1,188611369968375,2
9,179.448,0,188611369970375,2
0,128.059,1,188611369972458,2
1,189.829,1,188611369974500,6
2,179.821,0,188611369976458,2
3,103.902,1,188611369978541,2
5,193.565,1,188611369981958,6
8,134.707,1,188611369987125,2
9,189.061,1,188611369989166,6
0,152.045,1,188611369991041,4
1,198.196,1,188611369993208,6
2,187.457,1,188611369995250,6
3,159.465,0,188611369997375,2
5,127.993,1,188611370001083,2
6,150.706,1,188611370002916,4
7,119.45,1,188611370005083,2
8,150.183,1,188611370006958,4
9,199.274,1,188611370009083,6
0,108.851,1,188611370011208,2
5,128.215,1,188611370019458,2
7,109.394,1,188611370023041,2
8,197.357,1,188611370025083,6
0,184.404,0,188611370029000,2
1,188.31,0,188611370031125,2
2,175.979,0,188611370033208,2
3,194.165,0,188611370035250,2
4,173.174,1,188611370037333,6
5,102.147,1,188611370039458,2
6,106.864,1,188611370041541,2
7,126.709,1,188611370043500,2
8,110.603,1,188611370045625,2
0,117.559,1,188611370049250,2
1,199.186,1,188611370051333,6
2,197.442,1,188611370053458,6
4,168.163,0,188611370057166,2
6,184.791,0,188611370061125,2
7,108.824,1,188611370063166,2
8,104.241,1,188611370065250,2
9,139.958,1,188611370067333,2
0,185.926,0,188611370069333,2
2,135.976,1,188611370073041,2
3,193.705,0,188611370075208,2
4,130.808,1,188611370077333,2
5,187.55,1,188611370079541,6
6,175.309,0,188611370081750,2
0,106.768,1,188611370088750,2
1,143.667,1,188611370090750,2
2,195.492,0,188611370092833,2
3,107.758,1,188611370095041,2
5,111.193,1,188611370099041,2
7,105.791,1,188611370102916,2
8,106.691,1,188611370104958,2
9,127.892,1,188611370106958,2
0,161.035,0,188611370109000,2
1,193.079,0,188611370111083,2
2,144.09,1,188611370113250,2
3,138.583,1,188611370115166,2
4,158.769,1,188611370116958,4
5,102.264,1,188611370119000,2
7,112.589,1,188611370122750,2
9,190.561,0,188611370126541,2
0,111.949,1,188611370128750,2
1,105.831,1,188611370130791,2
2,143.691,1,188611370134375,2
3,191.922,1,188611370136375,6
