Timestamp,BuyOrderID,SellOrderID,Symbol,Price,Quantity
88035466236403,5001,598,MSFT,120.40,100
88035466239635,4033,5002,MSFT,124.48,100
88035466240893,5003,594,MSFT,120.46,100
88035466241863,4027,5004,MSFT,124.30,100
88035466242724,5005,600,MSFT,120.57,100
88035466243572,4031,5006,MSFT,125.11,100
88035466244639,5007,602,MSFT,120.67,100
88035466245426,4035,5008,MSFT,125.27,100
88035466246376,5009,592,MSFT,120.70,100
88035466247118,4025,5010,MSFT,124.86,100
88035466248294,5011,596,MSFT,120.85,100
88035466249224,4029,5012,MSFT,124.62,100
88035466249926,5013,590,MSFT,120.87,100
88035466250597,4037,5014,MSFT,124.58,100
88035466251718,5015,488,MSFT,120.94,100
88035466252557,4023,5016,MSFT,124.75,100
88035466253256,5017,490,MSFT,120.98,100
88035466254249,4041,5018,MSFT,125.52,100
88035466255003,5019,492,MSFT,121.02,100
88035466255739,4039,5020,MSFT,126.22,100
88035466256784,5021,612,MSFT,121.06,100
88035466257831,4043,5022,MSFT,125.92,100
88035466258554,5023,686,MSFT,121.08,100
88035466259223,4017,5024,MSFT,125.63,100
88035466259932,5025,604,MSFT,121.08,100
88035466260674,4021,5026,MSFT,125.51,100
88035466261471,5027,494,MSFT,121.13,100
88035466262214,4019,5028,MSFT,125.88,100
88035466262929,5029,618,MSFT,121.15,100
88035466263568,4051,5030,MSFT,126.38,100
88035466264323,5031,496,MSFT,121.18,100
88035466265406,4075,5032,MSFT,126.30,100
88035466266812,5033,616,MSFT,121.20,100
88035466267538,4015,5034,MSFT,126.80,100
88035466268350,5035,486,MSFT,121.24,100
88035466269092,4011,5036,MSFT,127.49,100
88035466270048,5037,484,MSFT,121.28,100
88035466270854,4013,5038,MSFT,127.83,100
88035466271780,5039,502,MSFT,121.29,100
88035466272422,4045,5040,MSFT,128.57,100
88035466273142,5041,690,MSFT,121.29,100
88035466273860,4373,5042,MSFT,128.39,100
88035466275167,5043,620,MSFT,121.31,100
88035466275905,4077,5044,MSFT,128.17,100
88035466276593,5045,622,MSFT,121.33,100
88035466277263,4369,5046,MSFT,127.59,100
88035466278361,5047,588,MSFT,121.36,100
88035466279108,4079,5048,MSFT,128.19,100
88035466279786,5049,498,MSFT,121.42,100
88035466280468,4375,5050,MSFT,127.82,100
88035466281135,5051,628,MSFT,121.45,100
88035466281866,4377,5052,MSFT,128.38,100
88035466282542,5053,508,MSFT,121.47,100
88035466283493,4071,5054,MSFT,128.07,100
88035466284196,5055,610,MSFT,121.48,100
88035466284854,4381,5056,MSFT,127.91,100
88035466285567,5057,684,MSFT,121.48,100
88035466286616,4073,5058,MSFT,128.03,100
88035466287329,5059,470,MSFT,121.50,100
88035466287991,4053,5060,MSFT,128.21,100
88035466288699,5061,624,MSFT,121.51,100
88035466289516,4367,5062,MSFT,127.97,100
88035466290492,5063,476,MSFT,121.53,100
88035466291187,4049,5064,MSFT,128.08,100
88035466291905,5065,614,MSFT,121.53,100
88035466292673,4379,5066,MSFT,128.22,100
88035466293381,5067,626,MSFT,121.53,100
88035466294026,4009,5068,MSFT,127.95,100
88035466295062,5069,606,MSFT,121.55,100
88035466295782,4047,5070,MSFT,128.36,100
88035466296503,5071,688,MSFT,121.55,100
88035466297174,4057,5072,MSFT,128.54,100
88035466297851,5073,506,MSFT,121.56,100
88035466298646,4371,5074,MSFT,128.26,100
88035466299380,5075,478,MSFT,121.61,100
88035466300212,4361,5076,MSFT,128.26,100
88035466300960,5077,608,MSFT,121.63,100
88035466301620,4431,5078,MSFT,128.60,100
88035466302524,5079,692,MSFT,121.64,100
88035466303230,4069,5080,MSFT,128.05,100
88035466304106,5081,630,MSFT,121.65,100
88035466304747,4081,5082,MSFT,127.16,100
88035466305434,5083,480,MSFT,121.68,100
88035466306358,4365,5084,MSFT,127.57,100
88035466307067,5085,632,MSFT,121.69,100
88035466307711,4061,5086,MSFT,127.41,100
88035466308403,5087,504,MSFT,121.71,100
88035466309325,4435,5088,MSFT,128.14,100
88035466309996,5089,482,MSFT,121.71,100
88035466310669,4383,5090,MSFT,127.90,100
88035466311434,5091,694,MSFT,121.77,100
88035466312156,4429,5092,MSFT,127.75,100
88035466312854,5093,500,MSFT,121.77,100
88035466313545,4059,5094,MSFT,128.55,100
88035466315456,5095,466,MSFT,121.78,100
88035466316589,4433,5096,MSFT,127.77,100
88035466317255,5097,680,MSFT,121.82,100
88035466318103,4085,5098,MSFT,127.67,100
88035466318994,5099,562,MSFT,121.82,100
88035466319698,4083,5100,MSFT,128.03,100
88035466320616,5101,464,MSFT,121.83,100
88035466321304,4065,5102,MSFT,128.23,100
88035466321967,5103,586,MSFT,121.84,100
88035466322930,4405,5104,MSFT,128.70,100
88035466323637,5105,682,MSFT,121.85,100
88035466324588,4055,5106,MSFT,128.20,100
88035466325273,5107,512,MSFT,121.87,100
88035466325942,4007,5108,MSFT,128.48,100
88035466326658,5109,468,MSFT,121.89,100
88035466327466,4439,5110,MSFT,128.52,100
88035466328137,5111,474,MSFT,121.90,100
88035466328829,4087,5112,MSFT,128.52,100
88035466329560,5113,558,MSFT,121.90,100
88035466330773,4067,5114,MSFT,128.15,100
88035466331754,5115,472,MSFT,121.91,100
88035466332422,4127,5116,MSFT,127.54,100
88035466333093,5117,636,MSFT,121.93,100
88035466333745,4129,5118,MSFT,127.79,100
88035466334405,5119,510,MSFT,121.93,100
88035466335151,4399,5120,MSFT,127.59,100
88035466335828,5121,638,MSFT,121.99,100
88035466336531,4363,5122,MSFT,127.25,100
88035466337362,5123,518,MSFT,122.01,100
88035466338102,4403,5124,MSFT,127.49,100
88035466339274,5125,564,MSFT,122.01,100
88035466355649,4427,5126,MSFT,128.36,100
88035466359821,5127,696,MSFT,122.04,100
88035466361316,4089,5128,MSFT,128.40,100
88035466362429,5129,678,MSFT,122.04,100
88035466363307,4005,5130,MSFT,128.40,100
88035466364042,5131,670,MSFT,122.04,100
88035466365287,4441,5132,MSFT,128.62,100
88035466366019,5133,530,MSFT,122.10,100
88035466366911,4359,5134,MSFT,128.73,100
88035466367671,5135,672,MSFT,122.12,100
88035466368922,4437,5136,MSFT,128.78,100
88035466369590,5137,560,MSFT,122.15,100
88035466370348,4135,5138,MSFT,128.83,100
88035466371144,5139,634,MSFT,122.17,100
88035466371986,4137,5140,MSFT,129.50,100
88035466372636,5141,676,MSFT,122.22,100
88035466373330,4385,5142,MSFT,129.91,100
88035466374253,5143,534,MSFT,122.23,100
88035466374962,4409,5144,MSFT,129.83,100
88035466375649,5145,514,MSFT,122.24,100
88035466376385,4133,5146,MSFT,129.90,100
88035466377049,5147,640,MSFT,122.27,100
88035466377949,4063,5148,MSFT,129.70,100
88035466378731,5149,566,MSFT,122.29,100
88035466379443,4131,5150,MSFT,130.01,100
88035466380096,5151,528,MSFT,122.29,100
88035466380955,4407,5152,MSFT,130.65,100
88035466381719,5153,556,MSFT,122.29,100
88035466382618,4095,5154,MSFT,131.37,100
88035466383602,5155,462,MSFT,122.30,100
88035466384241,4401,5156,MSFT,131.45,100
88035466384871,5157,698,MSFT,122.31,100
88035466385628,4125,5158,MSFT,131.32,100
88035466386276,5159,536,MSFT,122.31,100
88035466386964,4093,5160,MSFT,131.19,100
88035466387804,5161,584,MSFT,122.32,100
88035466388613,4397,5162,MSFT,130.83,100
88035466389459,5163,582,MSFT,122.37,100
88035466390186,4091,5164,MSFT,130.50,100
88035466391057,5165,544,MSFT,122.39,100
88035466391812,3997,5166,MSFT,130.58,100
88035466392484,5167,516,MSFT,122.39,100
88035466393158,4425,5168,MSFT,130.31,100
88035466393963,5169,542,MSFT,122.39,100
88035466394686,4443,5170,MSFT,130.56,100
88035466395377,5171,520,MSFT,122.40,100
88035466396108,3995,5172,MSFT,130.75,100
88035466396817,5173,546,MSFT,122.44,100
88035466397506,4355,5174,MSFT,130.69,100
88035466398861,5175,668,MSFT,122.44,100
88035466399903,4003,5176,MSFT,131.44,100
88035466400502,5177,568,MSFT,122.48,100
